OfferingName,ProductSkuName,Australia Central,Australia Central 2 *,Australia East,Australia Southeast,Austria East,Belgium Central,Brazil South,Brazil Southeast,Canada Central,Canada East,Central India,Central US,Chile Central,China East,China East 2,China East 3 *,China North,China North 2,China North 3,Denmark East,East Asia,East US,East US 2,France Central,France South *,Germany North *,Germany West Central,India South Central,Indonesia Central,Israel Central,Italy North,Japan East,Japan West,Korea Central,Korea South *,Malaysia West,Mexico Central,New Zealand North,Non Regional,North Central US,North Europe,Norway East,Norway West *,Poland Central,Qatar Central,South Africa North,South Africa West *,South Central US,South India,Southeast Asia,Spain Central,Sweden Central,Sweden South *,Switzerland North,Switzerland West *,Taiwan North **,UAE Central *,UAE North,UK South,UK West,West Central US,West Europe,West India *,West US,West US 2,West US 3
Storage,Azure Premium Files,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Storage,Azure Storage Reservations,GA,,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,,GA,,,,,GA,GA,GA,GA,GA,,,GA,,GA,GA,GA,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,,GA,,,,GA,GA,GA,GA,GA,GA,GA,GA,GA
Storage,Data Box,,,,,,,,,,,,GA,,,,,,,,,,GA,GA,GA,GA,,,,,,,,,,,,,,,GA,GA,,,,,,,GA,,,,,,,,,,,GA,GA,GA,GA,,GA,GA,
Storage,Disk Storage,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Storage,Hot/Cool/Cold Blob Storage Tiers,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Storage,Import/Export,,,GA,GA,,,GA,,GA,GA,GA,GA,,GA,GA,,GA,,,,GA,GA,GA,GA,,,GA,,,,,GA,GA,GA,,,,,,GA,GA,GA,,,,GA,,GA,GA,GA,,GA,,GA,GA,,,GA,GA,GA,GA,GA,GA,GA,GA,
Storage,Managed Disks,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Storage,Premium Block Blobs,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Storage,Premium SSD v2,,GA,GA,GA,,,GA,,GA,GA,GA,GA,,,,,,,GA,,GA,GA,GA,GA,,,GA,,GA,GA,GA,GA,GA,GA,,,GA,GA,,GA,GA,GA,GA,GA,,GA,,GA,,GA,GA,GA,,GA,,,,GA,GA,GA,GA,GA,,GA,GA,GA
Storage,Queues,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Storage,Tables,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Storage,Ultra Disk Storage,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,GA,,,,,,,GA,,GA,GA,GA,GA,,,GA,,GA,,GA,GA,GA,GA,GA,,,,,GA,GA,,GA,GA,GA,GA,,GA,,GA,GA,GA,,GA,,GA,,GA,GA,GA,,GA,,GA,GA,GA
Traffic Manager,General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trusted Hardware Identity Management,General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universal Print,General,,,GA,,,,GA,,GA,,,,,,,,,,,,,GA,,,,,,,,,,GA,,,,,,,,,,,,,,,,,GA,GA,,,,,,,,,GA,,,GA,GA,,GA,
Virtual Machine Scale Sets,General,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,General,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,A0 - A7,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,,GA,GA,,GA,GA,,,GA,GA,GA,GA,GA,,,,GA,,,GA,GA,GA,GA,,,,,GA,GA,,,,,GA,GA,GA,GA,GA,,,,,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,
Virtual Machines,Av2-Series,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
